Publish Date,Organization,Source Country,Product Name,Manufacturer (as displayed),Distributor,Reason,More Info,URL
2023-06-07,U.S. Food and Drug Administration (FDA),United States,Megestrol,,Akorn Operating Company,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,"Megestrol Acetate Oral Suspension, USP 40 mg/mL, 240 mL bottles, Rx Only, Distributed by: Akorn Operating Company, LLC., Gurnee, IL 60031.  ALL NDCs All Lots",https://api.fda.gov/drug/enforcement.json?search=event_id:91788
2023-06-07,U.S. Food and Drug Administration (FDA),United States,Granisetron,Akorn,,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,"Granisetron HCl Injection, USP, 1 mg/mL, packaged in a) 1mL and b) 4 mL vials, Rx Only, For Intravenous Use Only, Manufactured by: Akorn, Inc., Lake Forest, IL 60045.  ALL NDCs All Lots",https://api.fda.gov/drug/enforcement.json?search=event_id:91788
2023-04-19,U.S. Food and Drug Administration (FDA),United States,Bevacizumab,,,Labeling: Incorrect or Missing Lot and/or Exp Date: Lot code on primary packaging is incorrect.,"Bevacizumab 2.5 mg/0.1 mL, Solution for Injection in 1mL, silicone free slip tip syringe, each Syringe supplied in individually labeled poly envelopes (primary packaging).  Repackaged by Pine Pharmaceuticals, Pine Pharmaceuticals 355 Riverwalk Parkway, Tonawanda, NY 14150,  Office Use Only, Not for Resale. Secondary packaging consists of a coated cardboard box, with order-specific label indicating lot number housed within order/container. NDC # 69194-0458-1 Lot # 66377, Exp. Date: 06/28/2023. Syringe may be labeled incorrectly as lot# 66316",https://api.fda.gov/drug/enforcement.json?search=event_id:91972
2023-04-19,U.S. Food and Drug Administration (FDA),United States,Mektovi,,Array BioPharma Inc.,Labeling: Incorrect or Missing Lot and/or Exp Date:  The carton and bottle labels state an expiry date of March 2026; the correct expiration date is February 2025.,"MEKTOVI (binimetinib) tablets, 15 mg, 180-count bottle, Rx only, Distributed by: Array BioPharma Inc., a wholly owned subsidiary of Pfizer Inc., Boulder, CO 80301.  NDC:  70255-010-02 Lot W054586A, EXP 03/2026",https://api.fda.gov/drug/enforcement.json?search=event_id:91872
2023-04-02,National Agency for Food and Drug Administration and Control (NAFDAC),Nigeria,Herceptin,Roche,,Alert on Confirmed Counterfeit Herceptin 600mg/5ml Injection,Batch Number: B1106B11 Expiry Date: 12/2024,https://nafdac.gov.ng/public-alert-no-011-2023-alert-on-confirmed-counterfeit-herceptin-600mg-5ml-injection/
2023-03-20,Health Canada,Canada,Istodax,,,New safety information - Product withdrawal,New safety information - Product withdrawal. ISTODAX (romidepsin) –  Restricted Access Program,https://recalls-rappels.canada.ca/en/alert-recall/istodax-romidepsin-restricted-access-program
2023-02-22,U.S. Food and Drug Administration (FDA),United States,Ondansetron,,,Lack of sterility assurance,"ONDANSETRON 8MG IN NS 100ML, antimetic, Rx Only, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320 Beyond Use Date: December 29-30, 2022",https://api.fda.gov/drug/enforcement.json?search=event_id:91466
2023-02-16,Health Canada,Canada,Zejula,,,New safety information,"New safety information. ZEJULA (niraparib) - Update on the Maintenance Treatment in Recurrent Ovarian, Fallopian Tube, or Primary Peritoneal Cancer in the Second or Later Line Setting",https://recalls-rappels.canada.ca/en/alert-recall/zejula-niraparib-update-maintenance-treatment-recurrent-ovarian-fallopian-tube-or
2023-02-01,U.S. Food and Drug Administration (FDA),United States,Dexamethasone,,,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,"DEXAMETHASONE 16MG/ML (3ML VIAL) INJECTABLE; DEXAMETHASONE 24MG/ML INJECTABLE; DEXAMETHASONE-PF- 0.1% (1ML DROPPER) OPH SOLUTION, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA. t20221116@36 t20221117@11 t20221108@87",https://api.fda.gov/drug/enforcement.json?search=event_id:91332
2023-02-01,U.S. Food and Drug Administration (FDA),United States,Methotrexate,,,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,"METHOTREXATE INTRAVITREAL (1ML VIAL) 4MG/ML (400MCG/0.1ML) INJECTABLE, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA. t20221011@36",https://api.fda.gov/drug/enforcement.json?search=event_id:91332
2023-02-01,U.S. Food and Drug Administration (FDA),United States,Mitomycin,,,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,"MITOMYCIN 0.2MG/ML (1ML DROPTAINER) OPH SOLUTION; MITOMYCIN 0.2MG/ML (1ML VIAL) OPH SOLUTION, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA. t20221004@8 t20221011@36",https://api.fda.gov/drug/enforcement.json?search=event_id:91332
2023-01-18,U.S. Food and Drug Administration (FDA),United States,Mitomycin,,,Lack of Assurance of Sterility,"Mitomycin Injection Solution, 4mg/ml, packaged in a 10 mL Multiple-Dose vial, Rx Only, Compounded by: Akina Pharmacy, 23475 Rock Haven Way Suite 105, Sterling, VA  20166. Lot#: 12062022@7, Exp 1/20/2023; 12072022@32, Exp 1/22/2023",https://api.fda.gov/drug/enforcement.json?search=event_id:91443
2022-11-23,U.S. Food and Drug Administration (FDA),United States,Fyarro,,,Failed Stability Specifications,"Fyarro (sirolimus protein-bound particles for injectable suspension (albumin-bound), 100 mg per vial, NDC 80803-153-50, manufactured for Aadi Bioscience, Inc, CA. Lot# 6025701, Expiration Date: 31MAR2023, 100mg/vial, 50 ml single use vial, NDC 80803-153-50.",https://api.fda.gov/drug/enforcement.json?search=event_id:91019
2022-11-09,U.S. Food and Drug Administration (FDA),United States,Mitomycin,,,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,"MITOMYCIN INJECTION 0.375 mg/mL SYR, 0.375 mg/mL solution, 1 mL syringe, Rx only, Vital Care Compounder, 115 S. 40th Ave., Hattiesburg, MS  39402 Lots: 60618, BUD: 5/6/2023; 66536, BUD: 7/8/2023",https://api.fda.gov/drug/enforcement.json?search=event_id:90982
